time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-06-12T07:47:30.130Z,38.837833404541,-122.798500061035,2.05999994277954,0.79,md,13,71,0.006396,0.03,nc,nc75021172,2024-06-12T07:49:06.203Z,"7 km WNW of Cobb, CA",earthquake,0.35,0.589999974,0.37,14,automatic,nc,nc
2024-06-12T07:40:20.020Z,33.3648333,-116.3805,12.72,0.38,ml,30,61,0.03961,0.18,ci,ci40620351,2024-06-12T07:46:17.207Z,"12 km N of Borrego Springs, CA",earthquake,0.26,0.6,0.126,10,automatic,ci,ci
2024-06-12T07:36:49.744Z,61.045,-152.3393,113.2,1.9,ml,,,,0.41,ak,ak0247jciru6,2024-06-12T07:38:59.664Z,"64 km W of Tyonek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-06-12T07:32:00.010Z,19.0323333333333,-66.5036666666667,25.59,3.06,md,10,290,0.5528,0.09,pr,pr71452358,2024-06-12T07:52:17.060Z,"63 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,0.63,5.19,0.0823344758469218,6,reviewed,pr,pr
2024-06-12T07:31:39.440Z,33.2236667,-116.0046667,3.49,0.67,ml,37,109,0.0549,0.26,ci,ci40620343,2024-06-12T07:37:59.637Z,"10 km SSW of Salton City, CA",earthquake,0.41,0.48,0.128,9,automatic,ci,ci
2024-06-12T07:26:40.750Z,37.5491676330566,-118.498497009277,17.9200000762939,2.72,md,11,173,0.2801,0.08,nc,nc75021167,2024-06-12T07:29:41.120Z,"16 km ESE of Toms Place, CA",earthquake,0.57,1.69000006,0.33,9,automatic,nc,nc
2024-06-12T07:21:45.190Z,38.8181648254395,-122.817001342773,2.80999994277954,1.79,md,30,46,0.007521,0.04,nc,nc75021162,2024-06-12T07:25:06.640Z,"7 km NW of The Geysers, CA",earthquake,0.19,0.340000004,0.14,36,automatic,nc,nc
2024-06-12T07:09:31.390Z,36.6166648864746,-121.245834350586,7.34999990463257,1.63,md,11,178,0.05568,0.14,nc,nc75021152,2024-06-12T07:12:36.725Z,"13 km NNW of Pinnacles, CA",earthquake,0.99,2.00999999,0.12,9,automatic,nc,nc
2024-06-12T07:06:35.980Z,61.6739,-149.7211,41.5,1.2,ml,,,,0.57,ak,ak0247jccbam,2024-06-12T07:08:58.222Z,"7 km NE of Houston, Alaska",earthquake,,0.9,,,automatic,ak,ak
2024-06-12T07:03:56.823Z,60.3454,-152.2412,88,2,ml,,,,0.34,ak,ak0247jcbpr6,2024-06-12T07:06:08.320Z,"45 km NW of Ninilchik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-06-12T06:56:40.270Z,38.8419990539551,-122.827835083008,2.01999998092651,0.41,md,9,133,0.006878,0.02,nc,nc75021147,2024-06-12T06:58:16.595Z,"9 km WNW of Cobb, CA",earthquake,0.33,0.860000014,0.19,8,automatic,nc,nc
2024-06-12T06:53:59.790Z,38.8398323059082,-122.823669433594,0.689999997615814,0.71,md,9,65,0.009312,0.05,nc,nc75021142,2024-06-12T06:55:36.515Z,"9 km WNW of Cobb, CA",earthquake,0.3,0.75,0.25,12,automatic,nc,nc
